photo_id,photo_url,id,label,x,y,z,class
513774874.0,https://inaturalist-open-data.s3.amazonaws.com/photos/513774874/original.jpg,285823597.0,,-0.8867877438368955,-0.4192048927615623,0.2381274255862411,Non-Expert Cave
513774912.0,https://inaturalist-open-data.s3.amazonaws.com/photos/513774912/original.jpg,285823597.0,,-0.8780462415812519,-0.4153612019611898,0.2407552349961812,Non-Expert Cave
513774948.0,https://inaturalist-open-data.s3.amazonaws.com/photos/513774948/original.jpg,285823597.0,,-0.8884634140163374,-0.4087205472044171,0.2590518826770802,Non-Expert Cave
512058074.0,https://static.inaturalist.org/photos/512058074/original.jpg,284902507.0,Bats,-0.1974993113842554,-0.9721579365484632,0.3759705984253041,Non-Expert Non-Urban
512058085.0,https://static.inaturalist.org/photos/512058085/original.jpg,284902507.0,Bats,-0.1912641340918407,-0.9821798605536166,0.3885290575405589,Non-Expert Non-Urban
512058065.0,https://static.inaturalist.org/photos/512058065/original.jpg,284902507.0,Bats,-0.207815574188899,-0.969594359863416,0.4026262081226996,Non-Expert Non-Urban
512058088.0,https://static.inaturalist.org/photos/512058088/original.jpg,284902507.0,Bats,-0.1890130889141779,-1.0,0.376707675794651,Non-Expert Non-Urban
503661639.0,https://inaturalist-open-data.s3.amazonaws.com/photos/503661639/original.jpg,280431731.0,Jamaican Fruit-eating Bat,-0.0781144583410979,0.4803121764032745,0.1996332566979901,Non-Expert Cave
501972167.0,https://inaturalist-open-data.s3.amazonaws.com/photos/501972167/original.jpg,279534569.0,,0.7816719441273035,0.2488904477804354,0.3960449175628209,Non-Expert Urban
501153415.0,https://static.inaturalist.org/photos/501153415/original.jpeg,279091731.0,Velvety Free-tailed Bat,0.7535719003467047,0.2329598411493234,0.250881435840302,Non-Expert Urban
493150909.0,https://inaturalist-open-data.s3.amazonaws.com/photos/493150909/original.jpeg,274296155.0,Neotropical Fruit Bats,-0.7478784700723049,-0.3642353260264479,0.4614439146717695,Non-Expert Cave
493151041.0,https://inaturalist-open-data.s3.amazonaws.com/photos/493151041/original.jpeg,274296155.0,Neotropical Fruit Bats,-0.807826471812431,-0.3047054992503644,0.5894687705316564,Non-Expert Cave
493151162.0,https://inaturalist-open-data.s3.amazonaws.com/photos/493151162/original.jpeg,274296155.0,Neotropical Fruit Bats,-0.7856345738589903,-0.3568051057232621,0.5183024705435932,Non-Expert Cave
490700914.0,https://inaturalist-open-data.s3.amazonaws.com/photos/490700914/original.jpeg,272743597.0,Jamaican Fruit-eating Bat,0.4910772560328573,0.7024596908874323,-0.4600294442756892,Non-Expert Urban
490700917.0,https://inaturalist-open-data.s3.amazonaws.com/photos/490700917/original.jpeg,272743597.0,Jamaican Fruit-eating Bat,0.4802726296654072,0.6725804277817911,-0.5039090818218963,Non-Expert Urban
490313908.0,https://inaturalist-open-data.s3.amazonaws.com/photos/490313908/original.jpeg,272534233.0,Jamaican Fruit-eating Bat,0.1637253872856641,0.611117873128737,0.1460556898588052,Expert Cave
490312732.0,https://inaturalist-open-data.s3.amazonaws.com/photos/490312732/original.jpeg,272533646.0,Antillean Fruit-eating Bat,0.5529786349547363,0.8069721517419077,-0.5625478809146942,Expert Cave
489687387.0,https://inaturalist-open-data.s3.amazonaws.com/photos/489687387/original.jpg,272192829.0,,-0.7287279647457511,-0.4735466242975568,0.611872719985326,Non-Expert Cave
489571909.0,https://inaturalist-open-data.s3.amazonaws.com/photos/489571909/original.jpg,272130977.0,,-0.9629340019675324,-0.4389785205021678,0.3769774684328055,Non-Expert Cave
490428121.0,https://inaturalist-open-data.s3.amazonaws.com/photos/490428121/original.jpg,272130977.0,,-0.8381268747470516,-0.4732623405193951,0.5763297234819549,Non-Expert Cave
490428106.0,https://inaturalist-open-data.s3.amazonaws.com/photos/490428106/original.jpg,272130977.0,,-0.7109720315395002,-0.4817764555103418,0.60072921650471,Non-Expert Cave
485588392.0,https://inaturalist-open-data.s3.amazonaws.com/photos/485588392/original.jpg,270036564.0,,-0.8284877186454537,-0.4146925156184466,0.5138026107775362,Non-Expert Cave
485544036.0,https://inaturalist-open-data.s3.amazonaws.com/photos/485544036/original.jpeg,270012547.0,,-0.8958182823074333,-0.4018401431129407,0.2961803961681679,Non-Expert Cave
485534128.0,https://inaturalist-open-data.s3.amazonaws.com/photos/485534128/original.jpg,270007714.0,,-0.9383011082744408,-0.4545826528297367,0.3458634868660479,Non-Expert Cave
484271283.0,https://inaturalist-open-data.s3.amazonaws.com/photos/484271283/original.jpg,269344452.0,,-0.2990808078052264,-0.4197674330999741,0.4657159549349248,Non-Expert Urban
478986437.0,https://inaturalist-open-data.s3.amazonaws.com/photos/478986437/original.jpeg,266584341.0,Jamaican Fruit-eating Bat,-0.6582596716151947,-0.4646574824143362,0.5549838367036384,Non-Expert Cave
478986439.0,https://inaturalist-open-data.s3.amazonaws.com/photos/478986439/original.jpeg,266584341.0,Jamaican Fruit-eating Bat,-0.6886919661085449,-0.4698512700268966,0.583971988148533,Non-Expert Cave
478986442.0,https://inaturalist-open-data.s3.amazonaws.com/photos/478986442/original.jpeg,266584341.0,Jamaican Fruit-eating Bat,-0.5467434319724971,-0.4174091166693591,0.4791070834154196,Non-Expert Cave
477677327.0,https://inaturalist-open-data.s3.amazonaws.com/photos/477677327/original.jpg,265892489.0,Vespertilionoid Bats,0.5757256129450821,0.2448431709528278,0.4484632980112011,Non-Expert Urban
477677388.0,https://inaturalist-open-data.s3.amazonaws.com/photos/477677388/original.jpg,265892489.0,Vespertilionoid Bats,0.5343044446633218,0.2900061193004071,0.4008759526445986,Non-Expert Urban
477677483.0,https://inaturalist-open-data.s3.amazonaws.com/photos/477677483/original.jpg,265892489.0,Vespertilionoid Bats,0.5200192838098256,0.3048635462978235,0.4268138945149604,Non-Expert Urban
477317194.0,https://inaturalist-open-data.s3.amazonaws.com/photos/477317194/original.jpg,265710064.0,,0.8439520424412341,0.4993397685046052,0.1424762305892446,Non-Expert Urban
477317231.0,https://inaturalist-open-data.s3.amazonaws.com/photos/477317231/original.jpg,265710064.0,,0.7590384380915562,0.3032743698418108,0.2348590042322507,Non-Expert Urban
476152767.0,https://inaturalist-open-data.s3.amazonaws.com/photos/476152767/original.jpg,265117650.0,Bats,0.7245490780718391,0.9734320234458776,-0.693748477564025,Non-Expert Non-Urban
475539722.0,https://static.inaturalist.org/photos/475539722/original.jpg,264803183.0,,0.8460331751199803,0.3901801552176034,0.5746619585586856,Non-Expert Urban
475425911.0,https://inaturalist-open-data.s3.amazonaws.com/photos/475425911/original.jpg,264745803.0,,-0.8730887733977141,-0.1219766595986374,0.6440304496899814,Non-Expert Cave
475426477.0,https://inaturalist-open-data.s3.amazonaws.com/photos/475426477/original.jpg,264745803.0,,-0.8215960892688516,-0.3429317894726268,0.6344266081533663,Non-Expert Cave
475429217.0,https://inaturalist-open-data.s3.amazonaws.com/photos/475429217/original.jpg,264745803.0,,-0.7953729183727921,-0.431786375306488,0.644176506495888,Non-Expert Cave
472108193.0,https://inaturalist-open-data.s3.amazonaws.com/photos/472108193/original.jpg,262858012.0,Jamaican Fruit-eating Bat,-0.5143340485894257,0.199866731515067,0.4727194030401169,Non-Expert Cave
468459226.0,https://static.inaturalist.org/photos/468459226/original.jpg,260820522.0,,-0.5763495930911635,-0.3526222164926448,0.5324707085744562,Non-Expert Cave
466629414.0,https://inaturalist-open-data.s3.amazonaws.com/photos/466629414/original.jpg,259897206.0,Jamaican Fruit-eating Bat,0.1005179376887142,0.5556381693664976,0.1880922943146539,Non-Expert Cave
